benchmark,method,n,strict_answer,answer_match,status_correct,forbidden_hit,f1,citation_id_exists,citation_source_visible,citation_precision_gold,citation_recall_gold,retrieval_recall_gold,retrieval_session_recall,context_mean,context_max,prompt_native_mean,answer_output_native,answer_input_native,answer_s_p50,answer_s_p95,retrieval_ms_p50,truncated,cache_hits
locomo,A,16,0.25,0.25,0.5,0.0,0.18755094970245373,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,,1526.5,1528,1931.8125,717,30909,1.1798908329947153,7.537563416000921,80.63737499469426,0,0
locomo,B,16,0.1875,0.1875,0.5625,0.0,0.1694078947368421,0.8181818181818182,,0.18181818181818182,0.1875,0.3958333333333333,,1536.0,1536,2003.8125,963,32061,1.3016743330081226,11.208790666991263,0.4624580033123493,0,0
locomo,C,16,0.3125,0.4375,0.8125,0.0,0.23771581696458544,0.875,0.875,0.5052083333333334,0.625,0.7291666666666666,,1519.0,1535,1914.9375,1102,30639,2.521314708996215,13.396403000006103,79.03737500600982,0,0
locomo,D,16,0.3125,0.375,0.75,0.0,0.23822897840167576,0.71875,0.71875,0.3333333333333333,0.375,0.6458333333333334,,1516.3125,1536,1887.375,1082,30198,1.9474654999939958,23.578373041993473,157.11279200331774,0,0
mab,A,24,0.041666666666666664,0.041666666666666664,0.125,0.0,0.041666666666666664,0.0,0.0,,,,,1516.0,1516,2108.625,620,50607,0.46930662500381004,1.406700332998298,103.93462498905137,0,0
mab,B,24,0.125,0.125,0.16666666666666666,0.0,0.125,0.8,,,,,,1536.0,1536,2152.125,874,51651,0.4730886659963289,1.3399661659932462,0.41866600804496557,1,0
mab,C,24,0.3333333333333333,0.3333333333333333,0.5833333333333334,0.0,0.34722222222222227,0.045454545454545456,0.045454545454545456,,,,,1521.75,1536,2109.5416666666665,1115,50629,1.3817672500008484,1.735382375001791,92.97395900648553,0,0
mab,D,24,0.4166666666666667,0.5416666666666666,0.5833333333333334,0.0,0.444176479468599,0.09090909090909091,0.09090909090909091,,,,,1514.9166666666667,1536,2048.0,1073,49152,1.3481612920004409,2.8107782500010217,96.6515839972999,0,0
product,A,63,0.6190476190476191,0.6666666666666666,0.6666666666666666,0.031746031746031744,0.3654320987654321,0.5272727272727272,0.5272727272727272,0.4,0.38095238095238093,0.7619047619047619,,1444.968253968254,1536,1828.6031746031747,4473,115202,2.447334416996455,7.086990666997735,6.464291000156663,0,0
product,B,63,0.6984126984126984,0.7142857142857143,0.7936507936507936,0.0,0.21735953640715544,0.7666666666666667,,0.6458333333333334,0.6507936507936508,0.8253968253968254,,1337.5079365079366,1536,1832.0,5153,115416,2.564247249989421,6.595127958004014,0.3977919986937195,2,0
product,C,63,0.873015873015873,0.9206349206349206,0.873015873015873,0.031746031746031744,0.4553413958175863,0.5238095238095238,0.5238095238095238,0.49206349206349204,0.5238095238095238,1.0,,1161.4761904761904,1535,1543.4126984126983,4528,97235,2.2655712079867953,7.519581125001423,2.0769999973708764,0,0
product,D,63,0.9206349206349206,0.9206349206349206,0.9523809523809523,0.0,0.47195767195767196,0.6190476190476191,0.6190476190476191,0.6111111111111112,0.6190476190476191,1.0,,1200.2063492063492,1536,1567.2857142857142,4268,98739,2.286086875014007,7.6442940840061055,2.4068750062724575,0,0
